Symbol,Leg Symbol,Product,Futures Root,Expire Date,Leg Ratio,Leg Side,Description,Complex,Tick Size,Contract Size,Test Symbol
0002yE,0002st,ZVX/Q9,ZVX,8/21/2019,1,S,ZVX Monthly Aug 2019,FALSE,nickel,1000,TRUE
0002yL,,ZVXT/K9:1:S - ZVXT/U9:1:B,ZVXT,5/22/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002yL,0002yG,ZVXT/U9,ZVXT,9/18/2019,1,B,ZVXT Monthly Sep 2019,FALSE,tas_penny,1000,TRUE
0002yL,0002d7,ZVXT/K9,ZVXT,5/22/2019,1,S,ZVXT Monthly May 2019,FALSE,tas_penny,1000,TRUE
0002yM,,ZVXT/N9:1:S - ZVXT/U9:1:B,ZVXT,7/17/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002yM,0002yG,ZVXT/U9,ZVXT,9/18/2019,1,B,ZVXT Monthly Sep 2019,FALSE,tas_penny,1000,TRUE
0002yM,0002n5,ZVXT/N9,ZVXT,7/17/2019,1,S,ZVXT Monthly Jul 2019,FALSE,tas_penny,1000,TRUE
0002yQ,,ZVXT/Q9:1:S - ZVXT/U9:1:B,ZVXT,8/21/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002yQ,0002yG,ZVXT/U9,ZVXT,9/18/2019,1,B,ZVXT Monthly Sep 2019,FALSE,tas_penny,1000,TRUE
0002yQ,0002t7,ZVXT/Q9,ZVXT,8/21/2019,1,S,ZVXT Monthly Aug 2019,FALSE,tas_penny,1000,TRUE
0002yT,,ZVXT/M9:1:S - ZVXT/U9:1:B,ZVXT,6/19/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002yT,0002yG,ZVXT/U9,ZVXT,9/18/2019,1,B,ZVXT Monthly Sep 2019,FALSE,tas_penny,1000,TRUE
0002yT,0002i2,ZVXT/M9,ZVXT,6/19/2019,1,S,ZVXT Monthly Jun 2019,FALSE,tas_penny,1000,TRUE
0002zF,,VA/H0:1:S - VA/Z0:1:B,VA,3/20/2020,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002zF,0002zC,VA/H0,VA,3/20/2020,1,S,S&P 500 Variance Monthly Mar 2020,FALSE,nickel,1,FALSE
0002zF,00025C,VA/Z0,VA,12/18/2020,1,B,S&P 500 Variance Monthly Dec 2020,FALSE,nickel,1,FALSE
0002zG,,VA/Z9:1:S - VA/H0:1:B,VA,12/20/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002zG,0002zC,VA/H0,VA,3/20/2020,1,B,S&P 500 Variance Monthly Mar 2020,FALSE,nickel,1,FALSE
0002zG,00000O,VA/Z9,VA,12/20/2019,1,S,S&P 500 Variance Monthly Dec 2019,FALSE,nickel,1,FALSE
0002zI,,VA/H0:1:S - VA/Z1:1:B,VA,3/20/2020,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002zI,0002zC,VA/H0,VA,3/20/2020,1,S,S&P 500 Variance Monthly Mar 2020,FALSE,nickel,1,FALSE
0002zI,0002wc,VA/Z1,VA,12/17/2021,1,B,S&P 500 Variance Monthly Dec 2021,FALSE,nickel,1,FALSE
0002zM,,VA/M9:1:S - VA/H0:1:B,VA,6/21/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002zM,0002zC,VA/H0,VA,3/20/2020,1,B,S&P 500 Variance Monthly Mar 2020,FALSE,nickel,1,FALSE
0002zM,16,VA/M9,VA,6/21/2019,1,S,S&P 500 Variance Monthly Jun 2019,FALSE,nickel,1,FALSE
0002zN,,VA/U9:1:S - VA/H0:1:B,VA,9/20/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002zN,0002zC,VA/H0,VA,3/20/2020,1,B,S&P 500 Variance Monthly Mar 2020,FALSE,nickel,1,FALSE
0002zN,0002Qr,VA/U9,VA,9/20/2019,1,S,S&P 500 Variance Monthly Sep 2019,FALSE,nickel,1,FALSE
0002zP,,VA/H0:1:S - VA/M0:1:B,VA,3/20/2020,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
0002zP,0002zC,VA/H0,VA,3/20/2020,1,S,S&P 500 Variance Monthly Mar 2020,FALSE,nickel,1,FALSE
0002zP,0002R5,VA/M0,VA,6/19/2020,1,B,S&P 500 Variance Monthly Jun 2020,FALSE,nickel,1,FALSE
0002ze,,ZVA/Z0:1:S - ZVA/Z1:1:B,ZVA,12/18/2020,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0002ze,0002zc,ZVA/Z1,ZVA,12/17/2021,1,B,ZVA Monthly Dec 2021,FALSE,nickel,1,TRUE
0002ze,0001pf,ZVA/Z0,ZVA,12/18/2020,1,S,ZVA Monthly Dec 2020,FALSE,nickel,1,TRUE
0002zf,,ZVA/M0:1:S - ZVA/Z1:1:B,ZVA,6/19/2020,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0002zf,0002zc,ZVA/Z1,ZVA,12/17/2021,1,B,ZVA Monthly Dec 2021,FALSE,nickel,1,TRUE
0002zf,0002Th,ZVA/M0,ZVA,6/19/2020,1,S,ZVA Monthly Jun 2020,FALSE,nickel,1,TRUE
0002zg,,ZVA/U9:1:S - ZVA/Z1:1:B,ZVA,9/20/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0002zg,0002zc,ZVA/Z1,ZVA,12/17/2021,1,B,ZVA Monthly Dec 2021,FALSE,nickel,1,TRUE
0002zg,0002TT,ZVA/U9,ZVA,9/20/2019,1,S,ZVA Monthly Sep 2019,FALSE,nickel,1,TRUE
0002zj,,ZVA/Z9:1:S - ZVA/Z1:1:B,ZVA,12/20/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0002zj,0002zc,ZVA/Z1,ZVA,12/17/2021,1,B,ZVA Monthly Dec 2021,FALSE,nickel,1,TRUE
0002zj,0001hy,ZVA/Z9,ZVA,12/20/2019,1,S,ZVA Monthly Dec 2019,FALSE,nickel,1,TRUE
0002zk,,ZVA/M9:1:S - ZVA/Z1:1:B,ZVA,6/21/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0002zk,0002zc,ZVA/Z1,ZVA,12/17/2021,1,B,ZVA Monthly Dec 2021,FALSE,nickel,1,TRUE
0002zk,0001hn,ZVA/M9,ZVA,6/21/2019,1,S,ZVA Monthly Jun 2019,FALSE,nickel,1,TRUE
00030B,,ZVA/Z9:1:S - ZVA/H0:1:B,ZVA,12/20/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00030B,308,ZVA/H0,ZVA,3/20/2020,1,B,ZVA Monthly Mar 2020,FALSE,nickel,1,TRUE
00030B,0001hy,ZVA/Z9,ZVA,12/20/2019,1,S,ZVA Monthly Dec 2019,FALSE,nickel,1,TRUE
00030C,,ZVA/M9:1:S - ZVA/H0:1:B,ZVA,6/21/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00030C,308,ZVA/H0,ZVA,3/20/2020,1,B,ZVA Monthly Mar 2020,FALSE,nickel,1,TRUE
00030C,0001hn,ZVA/M9,ZVA,6/21/2019,1,S,ZVA Monthly Jun 2019,FALSE,nickel,1,TRUE
00030F,,ZVA/H0:1:S - ZVA/Z1:1:B,ZVA,3/20/2020,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00030F,308,ZVA/H0,ZVA,3/20/2020,1,S,ZVA Monthly Mar 2020,FALSE,nickel,1,TRUE
00030F,0002zc,ZVA/Z1,ZVA,12/17/2021,1,B,ZVA Monthly Dec 2021,FALSE,nickel,1,TRUE
00030I,,ZVA/H0:1:S - ZVA/Z0:1:B,ZVA,3/20/2020,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00030I,308,ZVA/H0,ZVA,3/20/2020,1,S,ZVA Monthly Mar 2020,FALSE,nickel,1,TRUE
00030I,0001pf,ZVA/Z0,ZVA,12/18/2020,1,B,ZVA Monthly Dec 2020,FALSE,nickel,1,TRUE
00030J,,ZVA/U9:1:S - ZVA/H0:1:B,ZVA,9/20/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00030J,308,ZVA/H0,ZVA,3/20/2020,1,B,ZVA Monthly Mar 2020,FALSE,nickel,1,TRUE
00030J,0002TT,ZVA/U9,ZVA,9/20/2019,1,S,ZVA Monthly Sep 2019,FALSE,nickel,1,TRUE
00030L,,ZVA/H0:1:S - ZVA/M0:1:B,ZVA,3/20/2020,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00030L,308,ZVA/H0,ZVA,3/20/2020,1,S,ZVA Monthly Mar 2020,FALSE,nickel,1,TRUE
00030L,0002Th,ZVA/M0,ZVA,6/19/2020,1,B,ZVA Monthly Jun 2020,FALSE,nickel,1,TRUE
00030O,,VX/N9:1:S - VX/Q9:2:B,VX,7/17/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00030O,0002qF,VX/Q9,VX,8/21/2019,2,B,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
00030O,0002V7,VX/N9,VX,7/17/2019,1,S,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
00030P,,VX/M9:1:S - VX/Q9:2:B,VX,6/19/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00030P,0002qF,VX/Q9,VX,8/21/2019,2,B,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
00030P,0002fg,VX/M9,VX,6/19/2019,1,S,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
00030Q,,VX/K9:1:S - VX/Q9:2:B,VX,5/22/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00030Q,0002qF,VX/Q9,VX,8/21/2019,2,B,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
00030Q,0002aV,VX/K9,VX,5/22/2019,1,S,VX Monthly May 2019,FALSE,nickel,1000,FALSE
00030V,,VX/M9:1:B - VX/N9:2:S - VX/Q9:1:B,VX,6/19/2019,,,VX COMPLEX 3 LEGS,TRUE,cmplxpenny,1000,FALSE
00030V,0002qF,VX/Q9,VX,8/21/2019,1,B,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
00030V,0002fg,VX/M9,VX,6/19/2019,1,B,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
00030V,0002V7,VX/N9,VX,7/17/2019,2,S,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
00030Y,,VX/K9:1:B - VX/M9:1:S - VX/N9:1:S - VX/Q9:1:B,VX,5/22/2019,,,VX COMPLEX 4 LEGS,TRUE,cmplxpenny,1000,FALSE
00030Y,0002qF,VX/Q9,VX,8/21/2019,1,B,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
00030Y,0002fg,VX/M9,VX,6/19/2019,1,S,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
00030Y,0002aV,VX/K9,VX,5/22/2019,1,B,VX Monthly May 2019,FALSE,nickel,1000,FALSE
00030Y,0002V7,VX/N9,VX,7/17/2019,1,S,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
00031Z,,VX/K9:1:S - VX/V9:1:B,VX,5/22/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00031Z,00031Y,VX/V9,VX,10/16/2019,1,B,VX Monthly Oct 2019,FALSE,nickel,1000,FALSE
00031Z,0002aV,VX/K9,VX,5/22/2019,1,S,VX Monthly May 2019,FALSE,nickel,1000,FALSE
00031c,,VX/N9:1:S - VX/V9:1:B,VX,7/17/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00031c,00031Y,VX/V9,VX,10/16/2019,1,B,VX Monthly Oct 2019,FALSE,nickel,1000,FALSE
00031c,0002V7,VX/N9,VX,7/17/2019,1,S,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
00031f,,VX/U9:1:S - VX/V9:1:B,VX,9/18/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00031f,00031Y,VX/V9,VX,10/16/2019,1,B,VX Monthly Oct 2019,FALSE,nickel,1000,FALSE
00031f,0002vI,VX/U9,VX,9/18/2019,1,S,VX Monthly Sep 2019,FALSE,nickel,1000,FALSE
00031i,,VX/Q9:1:S - VX/V9:1:B,VX,8/21/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00031i,00031Y,VX/V9,VX,10/16/2019,1,B,VX Monthly Oct 2019,FALSE,nickel,1000,FALSE
00031i,0002qF,VX/Q9,VX,8/21/2019,1,S,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
00031l,,VX/M9:1:S - VX/V9:1:B,VX,6/19/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00031l,00031Y,VX/V9,VX,10/16/2019,1,B,VX Monthly Oct 2019,FALSE,nickel,1000,FALSE
00031l,0002fg,VX/M9,VX,6/19/2019,1,S,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
00031n,,VXT/U9:1:S - VXT/V9:1:B,VXT,9/18/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00031n,00031m,VXT/V9,VXT,10/16/2019,1,B,VXT Monthly Oct 2019,FALSE,tas_penny,1000,FALSE
00031n,0002vW,VXT/U9,VXT,9/18/2019,1,S,VXT Monthly Sep 2019,FALSE,tas_penny,1000,FALSE
00031o,,VXT/Q9:1:S - VXT/V9:1:B,VXT,8/21/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00031o,00031m,VXT/V9,VXT,10/16/2019,1,B,VXT Monthly Oct 2019,FALSE,tas_penny,1000,FALSE
00031o,0002qT,VXT/Q9,VXT,8/21/2019,1,S,VXT Monthly Aug 2019,FALSE,tas_penny,1000,FALSE
00031r,,VXT/N9:1:S - VXT/V9:1:B,VXT,7/17/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00031r,00031m,VXT/V9,VXT,10/16/2019,1,B,VXT Monthly Oct 2019,FALSE,tas_penny,1000,FALSE
00031r,0002VL,VXT/N9,VXT,7/17/2019,1,S,VXT Monthly Jul 2019,FALSE,tas_penny,1000,FALSE
00031x,,VXT/M9:1:S - VXT/V9:1:B,VXT,6/19/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00031x,00031m,VXT/V9,VXT,10/16/2019,1,B,VXT Monthly Oct 2019,FALSE,tas_penny,1000,FALSE
00031x,0002fu,VXT/M9,VXT,6/19/2019,1,S,VXT Monthly Jun 2019,FALSE,tas_penny,1000,FALSE
00031y,,VXT/K9:1:S - VXT/V9:1:B,VXT,5/22/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00031y,00031m,VXT/V9,VXT,10/16/2019,1,B,VXT Monthly Oct 2019,FALSE,tas_penny,1000,FALSE
00031y,0002aj,VXT/K9,VXT,5/22/2019,1,S,VXT Monthly May 2019,FALSE,tas_penny,1000,FALSE
330,,VA/K9:1:S - VA/U9:1:B,VA,5/17/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
330,00032y,VA/K9,VA,5/17/2019,1,S,S&P 500 Variance Monthly May 2019,FALSE,nickel,1,FALSE
330,0002Qr,VA/U9,VA,9/20/2019,1,B,S&P 500 Variance Monthly Sep 2019,FALSE,nickel,1,FALSE
331,,VA/K9:1:S - VA/Z1:1:B,VA,5/17/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
331,00032y,VA/K9,VA,5/17/2019,1,S,S&P 500 Variance Monthly May 2019,FALSE,nickel,1,FALSE
331,0002wc,VA/Z1,VA,12/17/2021,1,B,S&P 500 Variance Monthly Dec 2021,FALSE,nickel,1,FALSE
332,,VA/K9:1:S - VA/Z9:1:B,VA,5/17/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
332,00032y,VA/K9,VA,5/17/2019,1,S,S&P 500 Variance Monthly May 2019,FALSE,nickel,1,FALSE
332,00000O,VA/Z9,VA,12/20/2019,1,B,S&P 500 Variance Monthly Dec 2019,FALSE,nickel,1,FALSE
333,,VA/K9:1:S - VA/Z0:1:B,VA,5/17/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
333,00032y,VA/K9,VA,5/17/2019,1,S,S&P 500 Variance Monthly May 2019,FALSE,nickel,1,FALSE
333,00025C,VA/Z0,VA,12/18/2020,1,B,S&P 500 Variance Monthly Dec 2020,FALSE,nickel,1,FALSE
335,,VA/K9:1:S - VA/M0:1:B,VA,5/17/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
335,00032y,VA/K9,VA,5/17/2019,1,S,S&P 500 Variance Monthly May 2019,FALSE,nickel,1,FALSE
335,0002R5,VA/M0,VA,6/19/2020,1,B,S&P 500 Variance Monthly Jun 2020,FALSE,nickel,1,FALSE
337,,VA/K9:1:S - VA/H0:1:B,VA,5/17/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
337,00032y,VA/K9,VA,5/17/2019,1,S,S&P 500 Variance Monthly May 2019,FALSE,nickel,1,FALSE
337,0002zC,VA/H0,VA,3/20/2020,1,B,S&P 500 Variance Monthly Mar 2020,FALSE,nickel,1,FALSE
338,,VA/K9:1:S - VA/M9:1:B,VA,5/17/2019,,,VA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,FALSE
338,00032y,VA/K9,VA,5/17/2019,1,S,S&P 500 Variance Monthly May 2019,FALSE,nickel,1,FALSE
338,16,VA/M9,VA,6/21/2019,1,B,S&P 500 Variance Monthly Jun 2019,FALSE,nickel,1,FALSE
00034L,,ZVX/U9:1:S - ZVX/V9:1:B,ZVX,9/18/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
00034L,00034K,ZVX/V9,ZVX,10/16/2019,1,B,ZVX Monthly Oct 2019,FALSE,nickel,1000,TRUE
00034L,0002y2,ZVX/U9,ZVX,9/18/2019,1,S,ZVX Monthly Sep 2019,FALSE,nickel,1000,TRUE
00034P,,ZVX/K9:1:S - ZVX/V9:1:B,ZVX,5/22/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
00034P,00034K,ZVX/V9,ZVX,10/16/2019,1,B,ZVX Monthly Oct 2019,FALSE,nickel,1000,TRUE
00034P,0002ct,ZVX/K9,ZVX,5/22/2019,1,S,ZVX Monthly May 2019,FALSE,nickel,1000,TRUE
00034Q,,ZVX/Q9:1:S - ZVX/V9:1:B,ZVX,8/21/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
00034Q,00034K,ZVX/V9,ZVX,10/16/2019,1,B,ZVX Monthly Oct 2019,FALSE,nickel,1000,TRUE
00034Q,0002st,ZVX/Q9,ZVX,8/21/2019,1,S,ZVX Monthly Aug 2019,FALSE,nickel,1000,TRUE
00034V,,ZVX/N9:1:S - ZVX/V9:1:B,ZVX,7/17/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
00034V,00034K,ZVX/V9,ZVX,10/16/2019,1,B,ZVX Monthly Oct 2019,FALSE,nickel,1000,TRUE
00034V,0002mr,ZVX/N9,ZVX,7/17/2019,1,S,ZVX Monthly Jul 2019,FALSE,nickel,1000,TRUE
00034W,,ZVX/M9:1:S - ZVX/V9:1:B,ZVX,6/19/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
00034W,00034K,ZVX/V9,ZVX,10/16/2019,1,B,ZVX Monthly Oct 2019,FALSE,nickel,1000,TRUE
00034W,0002ho,ZVX/M9,ZVX,6/19/2019,1,S,ZVX Monthly Jun 2019,FALSE,nickel,1000,TRUE
00034b,,ZVXT/N9:1:S - ZVXT/V9:1:B,ZVXT,7/17/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
00034b,00034Y,ZVXT/V9,ZVXT,10/16/2019,1,B,ZVXT Monthly Oct 2019,FALSE,tas_penny,1000,TRUE
00034b,0002n5,ZVXT/N9,ZVXT,7/17/2019,1,S,ZVXT Monthly Jul 2019,FALSE,tas_penny,1000,TRUE
00034c,,ZVXT/Q9:1:S - ZVXT/V9:1:B,ZVXT,8/21/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
00034c,00034Y,ZVXT/V9,ZVXT,10/16/2019,1,B,ZVXT Monthly Oct 2019,FALSE,tas_penny,1000,TRUE
00034c,0002t7,ZVXT/Q9,ZVXT,8/21/2019,1,S,ZVXT Monthly Aug 2019,FALSE,tas_penny,1000,TRUE
00034d,,ZVXT/K9:1:S - ZVXT/V9:1:B,ZVXT,5/22/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
00034d,00034Y,ZVXT/V9,ZVXT,10/16/2019,1,B,ZVXT Monthly Oct 2019,FALSE,tas_penny,1000,TRUE
00034d,0002d7,ZVXT/K9,ZVXT,5/22/2019,1,S,ZVXT Monthly May 2019,FALSE,tas_penny,1000,TRUE
00034e,,ZVXT/U9:1:S - ZVXT/V9:1:B,ZVXT,9/18/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
00034e,00034Y,ZVXT/V9,ZVXT,10/16/2019,1,B,ZVXT Monthly Oct 2019,FALSE,tas_penny,1000,TRUE
00034e,0002yG,ZVXT/U9,ZVXT,9/18/2019,1,S,ZVXT Monthly Sep 2019,FALSE,tas_penny,1000,TRUE
00034j,,ZVXT/M9:1:S - ZVXT/V9:1:B,ZVXT,6/19/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
00034j,00034Y,ZVXT/V9,ZVXT,10/16/2019,1,B,ZVXT Monthly Oct 2019,FALSE,tas_penny,1000,TRUE
00034j,0002i2,ZVXT/M9,ZVXT,6/19/2019,1,S,ZVXT Monthly Jun 2019,FALSE,tas_penny,1000,TRUE
00035l,,ZVA/K9:1:S - ZVA/H0:1:B,ZVA,5/17/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00035l,00035k,ZVA/K9,ZVA,5/17/2019,1,S,ZVA Monthly May 2019,FALSE,nickel,1,TRUE
00035l,308,ZVA/H0,ZVA,3/20/2020,1,B,ZVA Monthly Mar 2020,FALSE,nickel,1,TRUE
00035p,,ZVA/K9:1:S - ZVA/Z0:1:B,ZVA,5/17/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00035p,00035k,ZVA/K9,ZVA,5/17/2019,1,S,ZVA Monthly May 2019,FALSE,nickel,1,TRUE
00035p,0001pf,ZVA/Z0,ZVA,12/18/2020,1,B,ZVA Monthly Dec 2020,FALSE,nickel,1,TRUE
00035q,,ZVA/K9:1:S - ZVA/M0:1:B,ZVA,5/17/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00035q,00035k,ZVA/K9,ZVA,5/17/2019,1,S,ZVA Monthly May 2019,FALSE,nickel,1,TRUE
00035q,0002Th,ZVA/M0,ZVA,6/19/2020,1,B,ZVA Monthly Jun 2020,FALSE,nickel,1,TRUE
00035s,,ZVA/K9:1:S - ZVA/U9:1:B,ZVA,5/17/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00035s,00035k,ZVA/K9,ZVA,5/17/2019,1,S,ZVA Monthly May 2019,FALSE,nickel,1,TRUE
00035s,0002TT,ZVA/U9,ZVA,9/20/2019,1,B,ZVA Monthly Sep 2019,FALSE,nickel,1,TRUE
00035t,,ZVA/K9:1:S - ZVA/Z1:1:B,ZVA,5/17/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00035t,00035k,ZVA/K9,ZVA,5/17/2019,1,S,ZVA Monthly May 2019,FALSE,nickel,1,TRUE
00035t,0002zc,ZVA/Z1,ZVA,12/17/2021,1,B,ZVA Monthly Dec 2021,FALSE,nickel,1,TRUE
00035u,,ZVA/K9:1:S - ZVA/Z9:1:B,ZVA,5/17/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00035u,00035k,ZVA/K9,ZVA,5/17/2019,1,S,ZVA Monthly May 2019,FALSE,nickel,1,TRUE
00035u,0001hy,ZVA/Z9,ZVA,12/20/2019,1,B,ZVA Monthly Dec 2019,FALSE,nickel,1,TRUE
00035v,,ZVA/K9:1:S - ZVA/M9:1:B,ZVA,5/17/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
00035v,00035k,ZVA/K9,ZVA,5/17/2019,1,S,ZVA Monthly May 2019,FALSE,nickel,1,TRUE
00035v,0001hn,ZVA/M9,ZVA,6/21/2019,1,B,ZVA Monthly Jun 2019,FALSE,nickel,1,TRUE
00036H,,VX/Q9:1:S - VX/U9:2:B,VX,8/21/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00036H,0002vI,VX/U9,VX,9/18/2019,2,B,VX Monthly Sep 2019,FALSE,nickel,1000,FALSE
00036H,0002qF,VX/Q9,VX,8/21/2019,1,S,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
00036I,,VX/N9:1:S - VX/U9:2:B,VX,7/17/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00036I,0002vI,VX/U9,VX,9/18/2019,2,B,VX Monthly Sep 2019,FALSE,nickel,1000,FALSE
00036I,0002V7,VX/N9,VX,7/17/2019,1,S,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
00036J,,VX/M9:1:S - VX/U9:2:B,VX,6/19/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00036J,0002vI,VX/U9,VX,9/18/2019,2,B,VX Monthly Sep 2019,FALSE,nickel,1000,FALSE
00036J,0002fg,VX/M9,VX,6/19/2019,1,S,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
00036K,,VX/K9:1:S - VX/U9:2:B,VX,5/22/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
00036K,0002vI,VX/U9,VX,9/18/2019,2,B,VX Monthly Sep 2019,FALSE,nickel,1000,FALSE
00036K,0002aV,VX/K9,VX,5/22/2019,1,S,VX Monthly May 2019,FALSE,nickel,1000,FALSE
00036O,,VX/N9:1:B - VX/Q9:2:S - VX/U9:1:B,VX,7/17/2019,,,VX COMPLEX 3 LEGS,TRUE,cmplxpenny,1000,FALSE
00036O,0002vI,VX/U9,VX,9/18/2019,1,B,VX Monthly Sep 2019,FALSE,nickel,1000,FALSE
00036O,0002qF,VX/Q9,VX,8/21/2019,2,S,VX Monthly Aug 2019,FALSE,nickel,1000,FALSE
00036O,0002V7,VX/N9,VX,7/17/2019,1,B,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
00036P,,VX/K9:1:B - VX/N9:2:S - VX/U9:1:B,VX,5/22/2019,,,VX COMPLEX 3 LEGS,TRUE,cmplxpenny,1000,FALSE
00036P,0002vI,VX/U9,VX,9/18/2019,1,B,VX Monthly Sep 2019,FALSE,nickel,1000,FALSE
00036P,0002aV,VX/K9,VX,5/22/2019,1,B,VX Monthly May 2019,FALSE,nickel,1000,FALSE
