Symbol,Leg Symbol,Product,Futures Root,Expire Date,Leg Ratio,Leg Side,Description,Complex,Tick Size,Contract Size,Test Symbol
0002Te,,ZVA/U9:1:S - ZVA/Z9:1:B,ZVA,9/20/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0002Te,0002TT,ZVA/U9,ZVA,9/20/2019,1,S,ZVA Monthly Sep 2019,FALSE,nickel,1,TRUE
0002Te,0001hy,ZVA/Z9,ZVA,12/20/2019,1,B,ZVA Monthly Dec 2019,FALSE,nickel,1,TRUE
0002Tl,,ZVA/M0:1:S - ZVA/Z0:1:B,ZVA,6/19/2020,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0002Tl,0002Th,ZVA/M0,ZVA,6/19/2020,1,S,ZVA Monthly Jun 2020,FALSE,nickel,1,TRUE
0002Tl,0001pf,ZVA/Z0,ZVA,12/18/2020,1,B,ZVA Monthly Dec 2020,FALSE,nickel,1,TRUE
0002Tn,,ZVA/Z9:1:S - ZVA/M0:1:B,ZVA,12/20/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0002Tn,0002Th,ZVA/M0,ZVA,6/19/2020,1,B,ZVA Monthly Jun 2020,FALSE,nickel,1,TRUE
0002Tn,0001hy,ZVA/Z9,ZVA,12/20/2019,1,S,ZVA Monthly Dec 2019,FALSE,nickel,1,TRUE
0002Tp,,ZVA/U9:1:S - ZVA/M0:1:B,ZVA,9/20/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0002Tp,0002Th,ZVA/M0,ZVA,6/19/2020,1,B,ZVA Monthly Jun 2020,FALSE,nickel,1,TRUE
0002Tp,0002TT,ZVA/U9,ZVA,9/20/2019,1,S,ZVA Monthly Sep 2019,FALSE,nickel,1,TRUE
0002Tq,,ZVA/M9:1:S - ZVA/M0:1:B,ZVA,6/21/2019,,,ZVA COMPLEX 2 LEGS,TRUE,cmplxpenny,1,TRUE
0002Tq,0002Th,ZVA/M0,ZVA,6/19/2020,1,B,ZVA Monthly Jun 2020,FALSE,nickel,1,TRUE
0002Tq,0001hn,ZVA/M9,ZVA,6/21/2019,1,S,ZVA Monthly Jun 2019,FALSE,nickel,1,TRUE
0002fq,,VX/K9:1:S - VX/M9:1:B,VX,5/22/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002fq,0002fg,VX/M9,VX,6/19/2019,1,B,VX Monthly Jun 2019,FALSE,nickel,1000,FALSE
0002fq,0002aV,VX/K9,VX,5/22/2019,1,S,VX Monthly May 2019,FALSE,nickel,1000,FALSE
0002g0,,VXT/K9:1:S - VXT/M9:1:B,VXT,5/22/2019,,,VXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002g0,0002fu,VXT/M9,VXT,6/19/2019,1,B,VXT Monthly Jun 2019,FALSE,tas_penny,1000,FALSE
0002g0,0002aj,VXT/K9,VXT,5/22/2019,1,S,VXT Monthly May 2019,FALSE,tas_penny,1000,FALSE
0002hx,,ZVX/K9:1:S - ZVX/M9:1:B,ZVX,5/22/2019,,,ZVX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002hx,0002ho,ZVX/M9,ZVX,6/19/2019,1,B,ZVX Monthly Jun 2019,FALSE,nickel,1000,TRUE
0002hx,0002ct,ZVX/K9,ZVX,5/22/2019,1,S,ZVX Monthly May 2019,FALSE,nickel,1000,TRUE
0002iF,,ZVXT/K9:1:S - ZVXT/M9:1:B,ZVXT,5/22/2019,,,ZVXT COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,TRUE
0002iF,0002i2,ZVXT/M9,ZVXT,6/19/2019,1,B,ZVXT Monthly Jun 2019,FALSE,tas_penny,1000,TRUE
0002iF,0002d7,ZVXT/K9,ZVXT,5/22/2019,1,S,ZVXT Monthly May 2019,FALSE,tas_penny,1000,TRUE
0002kr,,VX/K9:1:S - VX/N9:1:B,VX,5/22/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
0002kr,0002aV,VX/K9,VX,5/22/2019,1,S,VX Monthly May 2019,FALSE,nickel,1000,FALSE
0002kr,0002V7,VX/N9,VX,7/17/2019,1,B,VX Monthly Jul 2019,FALSE,nickel,1000,FALSE
0002ku,,VX/M9:1:S - VX/N9:1:B,VX,6/19/2019,,,VX COMPLEX 2 LEGS,TRUE,cmplxpenny,1000,FALSE
