Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.,,,
Date,Close,,
9/18/2014,100,,
9/19/2014,99.47,,
9/22/2014,98.66,,
9/23/2014,97.79,,
9/24/2014,98.47,,
9/25/2014,96.92,,
9/26/2014,97.99,,
9/29/2014,98.04,,
9/30/2014,97.54,,
10/1/2014,96.27,,
10/2/2014,95.51,,
10/3/2014,96.11,,
10/6/2014,96.47,,
10/7/2014,95.11,,
10/8/2014,96.16,,
10/9/2014,93.76,,
10/10/2014,92.45,,
10/13/2014,91.96,,
10/14/2014,92.3,,
10/15/2014,91.18,,
10/16/2014,90.57,,
10/17/2014,91.15,,
10/20/2014,91.96,,
10/21/2014,94.02,,
10/22/2014,93.19,,
10/23/2014,94.38,,
10/24/2014,95.25,,
10/27/2014,94.87,,
10/28/2014,96.16,,
10/29/2014,95.75,,
10/30/2014,96.68,,
10/31/2014,97.72,,
11/3/2014,97.88,,
11/4/2014,97.85,,
11/5/2014,98.32,,
11/6/2014,98.72,,
11/7/2014,99.16,,
11/10/2014,99.36,,
11/11/2014,99.46,,
11/12/2014,99.24,,
11/13/2014,99.45,,
11/14/2014,99.95,,
11/17/2014,99.67,,
11/18/2014,100,,
11/19/2014,99.69,,
11/20/2014,99.88,,
11/21/2014,101.11,,
11/24/2014,101.2,,
11/25/2014,101.16,,
11/26/2014,101.78,,
11/28/2014,101.83,,
12/1/2014,100.89,,
12/2/2014,101.59,,
12/3/2014,102.32,,
12/4/2014,102.73,,
12/5/2014,103.21,,
12/8/2014,102.77,,
12/9/2014,102.9,,
12/10/2014,101.39,,
12/11/2014,101.83,,
12/12/2014,100.56,,
12/15/2014,99.81,,
12/16/2014,98.63,,
12/17/2014,100.44,,
12/18/2014,102.33,,
12/19/2014,103.18,,
12/22/2014,103.72,,
12/23/2014,104.12,,
12/24/2014,104.27,,
12/26/2014,104.58,,
12/29/2014,104.4,,
12/30/2014,103.59,,
12/31/2014,102.72,,
1/2/2015,102.36,,
1/5/2015,100.47,,
1/6/2015,99.68,,
1/7/2015,101.37,,
1/8/2015,103.43,,
1/9/2015,103.14,,
1/12/2015,102.24,,
1/13/2015,101.77,,
1/14/2015,101.54,,
1/15/2015,101.06,,
1/16/2015,102.61,,
1/20/2015,102.8,,
1/21/2015,104.15,,
1/22/2015,105.96,,
1/23/2015,105.49,,
1/26/2015,105.86,,
1/27/2015,104.9,,
1/28/2015,103.19,,
1/29/2015,104.44,,
1/30/2015,102.91,,
2/2/2015,104.08,,
2/3/2015,105.71,,
2/4/2015,105.09,,
2/5/2015,105.98,,
2/6/2015,105.81,,
2/9/2015,105.74,,
2/10/2015,106.63,,
2/11/2015,106.8,,
2/12/2015,108.09,,
2/13/2015,108.55,,
2/17/2015,108.87,,
2/18/2015,109.55,,
2/19/2015,109.93,,
2/20/2015,110.46,,
2/23/2015,110.1,,
2/24/2015,110.53,,
2/25/2015,110.64,,
2/26/2015,110.34,,
2/27/2015,110.29,,
3/2/2015,111.2,,
3/3/2015,111,,
3/4/2015,110.59,,
3/5/2015,111.31,,
3/6/2015,110.28,,
3/9/2015,110.63,,
3/10/2015,108.81,,
3/11/2015,108.25,,
3/12/2015,110.2,,
3/13/2015,109.27,,
3/16/2015,110.37,,
3/17/2015,110.24,,
3/18/2015,111.46,,
3/19/2015,110.81,,
3/20/2015,111.83,,
3/23/2015,111.03,,
3/24/2015,110.25,,
3/25/2015,107.54,,
3/26/2015,106.95,,
3/27/2015,107.71,,
3/30/2015,108.56,,
3/31/2015,107.61,,
4/1/2015,107.31,,
4/2/2015,108.16,,
4/6/2015,109.36,,
4/7/2015,108.86,,
4/8/2015,109.38,,
4/9/2015,110.28,,
4/10/2015,110.94,,
4/13/2015,110.49,,
4/14/2015,110.78,,
4/15/2015,110.81,,
4/16/2015,111.68,,
4/17/2015,110.76,,
4/20/2015,111.4,,
4/21/2015,111.07,,
4/22/2015,111.36,,
4/23/2015,111.87,,
4/24/2015,112.69,,
4/27/2015,112.16,,
4/28/2015,112.74,,
4/29/2015,112.26,,
4/30/2015,110.49,,
5/1/2015,111.34,,
5/4/2015,111.83,,
5/5/2015,110.32,,
5/6/2015,110.1,,
5/7/2015,110.44,,
5/8/2015,111.91,,
5/11/2015,111.64,,
5/12/2015,111.28,,
5/13/2015,111.34,,
5/14/2015,112.79,,
5/15/2015,113.32,,
5/18/2015,113.34,,
5/19/2015,113.17,,
5/20/2015,113.27,,
5/21/2015,113.23,,
5/22/2015,112.78,,
5/26/2015,112.23,,
5/27/2015,113.47,,
5/28/2015,113.13,,
5/29/2015,112.89,,
6/1/2015,113.06,,
6/2/2015,112.58,,
6/3/2015,112.32,,
6/4/2015,111.34,,
6/5/2015,111.05,,
6/8/2015,110.01,,
6/9/2015,109.8,,
6/10/2015,110.83,,
6/11/2015,111.36,,
6/12/2015,110.62,,
6/15/2015,109.98,,
6/16/2015,110.68,,
6/17/2015,110.64,,
6/18/2015,111.59,,
6/19/2015,111.4,,
6/22/2015,112.2,,
6/23/2015,112.36,,
6/24/2015,111.59,,
6/25/2015,111.46,,
6/26/2015,111.71,,
6/29/2015,109.34,,
6/30/2015,109.92,,
7/1/2015,110.31,,
7/2/2015,110.72,,
7/6/2015,110.01,,
7/7/2015,111.04,,
7/8/2015,109.2,,
7/9/2015,109.49,,
7/10/2015,111.02,,
7/13/2015,112.02,,
7/14/2015,112.41,,
7/15/2015,112.39,,
7/16/2015,113.35,,
7/17/2015,113.56,,
7/20/2015,113.23,,
7/21/2015,112.96,,
7/22/2015,112.64,,
7/23/2015,112.16,,
7/24/2015,111.48,,
7/27/2015,111.16,,
7/28/2015,112.58,,
7/29/2015,112.94,,
7/30/2015,112.78,,
7/31/2015,112.46,,
8/3/2015,112.07,,
8/4/2015,112.09,,
8/5/2015,112.54,,
8/6/2015,111.12,,
8/7/2015,110.79,,
8/10/2015,112.12,,
8/11/2015,110.6,,
8/12/2015,110.62,,
8/13/2015,110.92,,
8/14/2015,111.2,,
8/17/2015,111.46,,
8/18/2015,111.18,,
8/19/2015,109.48,,
8/20/2015,107.33,,
8/21/2015,104.98,,
8/24/2015,100.96,,
8/25/2015,99.9,,
8/26/2015,103.48,,
8/27/2015,105.97,,
8/28/2015,106.05,,
8/31/2015,105.7,,
9/1/2015,101.73,,
9/2/2015,103.64,,
9/3/2015,103.56,,
9/4/2015,102.26,,
9/8/2015,104.52,,
9/9/2015,103.7,,
9/10/2015,104.33,,
9/11/2015,104.38,,
9/14/2015,103.62,,
9/15/2015,105.06,,
9/16/2015,106.27,,
9/17/2015,106.13,,
9/18/2015,104.04,,
9/21/2015,104.23,,
9/22/2015,103.09,,
9/23/2015,102.64,,
9/24/2015,101.87,,
9/25/2015,102.05,,
9/28/2015,99.35,,
9/29/2015,99.08,,
9/30/2015,101.31,,
10/1/2015,101.37,,
10/2/2015,103.27,,
10/5/2015,105.08,,
10/6/2015,104.9,,
10/7/2015,105.85,,
10/8/2015,106.92,,
10/9/2015,106.92,,
10/12/2015,106.77,,
10/13/2015,105.43,,
10/14/2015,104.98,,
10/15/2015,105.51,,
10/16/2015,105.93,,
10/19/2015,106.3,,
10/20/2015,106.47,,
10/21/2015,105.29,,
10/22/2015,107.12,,
