"Cboe Volatility Index (VX) Futures, Includes TAS",,,,,,
VX+VXT17/J9 - 2019-04-24,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change_1,Column7
VX+VXT/V9 - 2019-10-16,CONTRACT VOLUME,"4,754",0,0,"11,739",11739
VX+VXT/X9 - 2019-11-20,CONTRACT PRICES (US$),Open,High,Low,Close,
VX+VXT/X9 - 2019-11-20,CONTRACT PRICES (US$),17.03,17.20,16.87,17.00,
VX+VXT/X9 - 2019-11-20,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VX+VXT/X9 - 2019-11-20,CONTRACT PRICES (US$),16.875,N/A,-0.150,-0.150,
VX+VXT/X9 - 2019-11-20,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VX+VXT/X9 - 2019-11-20,CONTRACT VOLUME,"3,218",0,0,"8,919",8919
VX+VXT/Z9 - 2019-12-18,CONTRACT PRICES (US$),Open,High,Low,Close,
VX+VXT/Z9 - 2019-12-18,CONTRACT PRICES (US$),16.87,17.04,16.75,16.87,
VX+VXT/Z9 - 2019-12-18,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VX+VXT/Z9 - 2019-12-18,CONTRACT PRICES (US$),16.775,N/A,-0.125,-0.125,
VX+VXT/Z9 - 2019-12-18,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VX+VXT/Z9 - 2019-12-18,CONTRACT VOLUME,913,0,0,"4,545",4545
VX+VXT/F0 - 2020-01-22,CONTRACT PRICES (US$),Open,High,Low,Close,
VX+VXT/F0 - 2020-01-22,CONTRACT PRICES (US$),17.12,17.28,17.12,17.25,
VX+VXT/F0 - 2020-01-22,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VX+VXT/F0 - 2020-01-22,CONTRACT PRICES (US$),17.175,N/A,-0.150,-0.150,
VX+VXT/F0 - 2020-01-22,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VX+VXT/F0 - 2020-01-22,CONTRACT VOLUME,14,0,0,14,14
Cboe Bitcoin (USD) (XBT) Futures,,,,,,
XBT/K9 - 2019-05-15,CONTRACT PRICES (US$),Open,High,Low,Close,
XBT/K9 - 2019-05-15,CONTRACT PRICES (US$),5645.00,5680.00,5380.00a,5445.00,
XBT/K9 - 2019-05-15,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
XBT/K9 - 2019-05-15,CONTRACT PRICES (US$),5447.50,N/A,-145.00,-145.00,
XBT/K9 - 2019-05-15,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
XBT/K9 - 2019-05-15,CONTRACT VOLUME,"1,833",0,0,"1,631",1631
XBT/M9 - 2019-06-19,CONTRACT PRICES (US$),Open,High,Low,Close,
XBT/M9 - 2019-06-19,CONTRACT PRICES (US$),5560.00,b5625.00,5375.00a,5445.00,
XBT/M9 - 2019-06-19,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
XBT/M9 - 2019-06-19,CONTRACT PRICES (US$),5447.50,N/A,-147.50,-147.50,
XBT/M9 - 2019-06-19,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
XBT/M9 - 2019-06-19,CONTRACT VOLUME,311,0,0,"1,171",1171
Cboe/CBOT 10-Year U.S. Treasury Note Volatility Index (VXTY) Futures,,,,,,
VXTY/J9 - 2019-04-24,CONTRACT PRICES (US$),Open,High,Low,Close,
VXTY/J9 - 2019-04-24,CONTRACT PRICES (US$),0.00,b3.75,4.25a,0.00,
VXTY/J9 - 2019-04-24,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VXTY/J9 - 2019-04-24,CONTRACT PRICES (US$),3.83,N/A,0.33,0.33,
VXTY/J9 - 2019-04-24,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VXTY/J9 - 2019-04-24,CONTRACT VOLUME,0,0,0,0,0
VXTY/K9 - 2019-05-22,CONTRACT PRICES (US$),Open,High,Low,Close,
VXTY/K9 - 2019-05-22,CONTRACT PRICES (US$),0.00,b3.70,4.30a,0.00,
VXTY/K9 - 2019-05-22,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VXTY/K9 - 2019-05-22,CONTRACT PRICES (US$),4.00,N/A,0.50,0.50,
VXTY/K9 - 2019-05-22,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VXTY/K9 - 2019-05-22,CONTRACT VOLUME,0,0,0,0,0
VXTY/M9 - 2019-06-26,CONTRACT PRICES (US$),Open,High,Low,Close,
VXTY/M9 - 2019-06-26,CONTRACT PRICES (US$),0.00,b3.65,4.35a,0.00,
VXTY/M9 - 2019-06-26,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VXTY/M9 - 2019-06-26,CONTRACT PRICES (US$),4.00,N/A,0.50,0.50,
VXTY/M9 - 2019-06-26,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VXTY/M9 - 2019-06-26,CONTRACT VOLUME,0,0,0,0,0
VXTY/N9 - 2019-07-24,CONTRACT PRICES (US$),Open,High,Low,Close,
VXTY/N9 - 2019-07-24,CONTRACT PRICES (US$),0.00,b3.60,4.40a,0.00,
VXTY/N9 - 2019-07-24,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
VXTY/N9 - 2019-07-24,CONTRACT PRICES (US$),4.00,N/A,0.50,0.50,
VXTY/N9 - 2019-07-24,CONTRACT VOLUME,Total,BLOCK,ECRP,Open Interest,
VXTY/N9 - 2019-07-24,CONTRACT VOLUME,0,0,0,0,0
S&P 500 Variance (VA) Futures,,,,,,
VA/K9 - 2019-05-17,CONTRACT PRICES (US$),Open,High,Low,Close,
VA/K9 - 2019-05-17,CONTRACT PRICES (US$),0.00,b11.95,11.90a,0.00,
VA/K9 - 2019-05-17,CONTRACT PRICES (US$),Settle,Settle - Var,Change,Change,
